iteration,j.1,j.2,j.0,kinetic.to_I_from_A2,kinetic.to_I_from_A1,kinetic.to_I2_from_I,kinetic.from_I2,irf.center,irf.width,irf.dispcenter,irf.disp1,irf.disp2,rel.r1
0.0,0.5,0.5,0.0,-2.5257286443082556,-0.916290731874155,-8.001380026139207,-5.98002073640768,0.036,-2.4848817876970646,500.0,-0.327,-0.1915,1.0
0.0,0.5,0.5,0.0,-2.5257286443082556,-0.916290731874155,-8.001380026139207,-5.98002073640768,0.036,-2.4848817876970646,500.0,-0.327,-0.1915,1.0
0.0,0.4999999850988388,0.5000000149011612,0.0,-2.5257286443082556,-0.916290731874155,-8.001380026139207,-5.98002073640768,0.036,-2.4848817876970646,500.0,-0.327,-0.1915,1.0
0.0,0.5,0.5,0.0,-2.5257286819445453,-0.916290731874155,-8.001380026139207,-5.98002073640768,0.036,-2.4848817876970646,500.0,-0.327,-0.1915,1.0
0.0,0.5,0.5,0.0,-2.5257286443082556,-0.9162907467753163,-8.001380026139207,-5.98002073640768,0.036,-2.4848817876970646,500.0,-0.327,-0.1915,1.0
0.0,0.5,0.5,0.0,-2.5257286443082556,-0.916290731874155,-8.001380026139207,-5.98002073640768,0.03600001490116119,-2.4848817876970646,500.0,-0.327,-0.1915,1.0
0.0,0.5,0.5,0.0,-2.5257286443082556,-0.916290731874155,-8.001380026139207,-5.98002073640768,0.036,-2.4848818247246887,500.0,-0.327,-0.1915,1.0
0.0,0.5,0.5,0.0,-2.5257286443082556,-0.916290731874155,-8.001380026139207,-5.98002073640768,0.036,-2.4848817876970646,500.0,-0.3270000149011612,-0.1915,1.0
0.0,0.5,0.5,0.0,-2.5257286443082556,-0.916290731874155,-8.001380026139207,-5.98002073640768,0.036,-2.4848817876970646,500.0,-0.327,-0.1915000149011612,1.0
0.0,0.5351278890441481,0.4648721109558519,0.0,-2.423971603971232,-0.7085781652362837,-8.001380026139207,-5.98002073640768,0.04473222568613934,-1.708535799664831,500.0,-0.2558991603802543,-0.2916065284966898,1.0
0.0,0.5351278741429869,0.4648721258570131,0.0,-2.423971603971232,-0.7085781652362837,-8.001380026139207,-5.98002073640768,0.04473222568613934,-1.708535799664831,500.0,-0.2558991603802543,-0.2916065284966898,1.0
0.0,0.5351278890441481,0.4648721109558519,0.0,-2.4239716400912235,-0.7085781652362837,-8.001380026139207,-5.98002073640768,0.04473222568613934,-1.708535799664831,500.0,-0.2558991603802543,-0.2916065284966898,1.0
0.0,0.5351278890441481,0.4648721109558519,0.0,-2.423971603971232,-0.7085781801374449,-8.001380026139207,-5.98002073640768,0.04473222568613934,-1.708535799664831,500.0,-0.2558991603802543,-0.2916065284966898,1.0
0.0,0.5351278890441481,0.4648721109558519,0.0,-2.423971603971232,-0.7085781652362837,-8.001380026139207,-5.98002073640768,0.044732240587300534,-1.708535799664831,500.0,-0.2558991603802543,-0.2916065284966898,1.0
0.0,0.5351278890441481,0.4648721109558519,0.0,-2.423971603971232,-0.7085781652362837,-8.001380026139207,-5.98002073640768,0.04473222568613934,-1.7085358251239984,500.0,-0.2558991603802543,-0.2916065284966898,1.0
0.0,0.5351278890441481,0.4648721109558519,0.0,-2.423971603971232,-0.7085781652362837,-8.001380026139207,-5.98002073640768,0.04473222568613934,-1.708535799664831,500.0,-0.2558991752814155,-0.2916065284966898,1.0
0.0,0.5351278890441481,0.4648721109558519,0.0,-2.423971603971232,-0.7085781652362837,-8.001380026139207,-5.98002073640768,0.04473222568613934,-1.708535799664831,500.0,-0.2558991603802543,-0.29160654339785097,1.0
1.0,0.5129272051543015,0.4870727948456986,0.0,-2.3821018889143923,-0.6847697169867889,-8.001380026139207,-5.98002073640768,0.13333388430999166,-1.5734020294673254,500.0,-0.29569314912533406,-0.27078630709277324,1.0
1.0,0.5129271902531403,0.4870728097468598,0.0,-2.3821018889143923,-0.6847697169867889,-8.001380026139207,-5.98002073640768,0.13333388430999166,-1.5734020294673254,500.0,-0.29569314912533406,-0.27078630709277324,1.0
1.0,0.5129272051543015,0.4870727948456986,0.0,-2.3821019244104766,-0.6847697169867889,-8.001380026139207,-5.98002073640768,0.13333388430999166,-1.5734020294673254,500.0,-0.29569314912533406,-0.27078630709277324,1.0
1.0,0.5129272051543015,0.4870727948456986,0.0,-2.3821018889143923,-0.6847697318879503,-8.001380026139207,-5.98002073640768,0.13333388430999166,-1.5734020294673254,500.0,-0.29569314912533406,-0.27078630709277324,1.0
1.0,0.5129272051543015,0.4870727948456986,0.0,-2.3821018889143923,-0.6847697169867889,-8.001380026139207,-5.98002073640768,0.13333389921115285,-1.5734020294673254,500.0,-0.29569314912533406,-0.27078630709277324,1.0
1.0,0.5129272051543015,0.4870727948456986,0.0,-2.3821018889143923,-0.6847697169867889,-8.001380026139207,-5.98002073640768,0.13333388430999166,-1.5734020529128427,500.0,-0.29569314912533406,-0.27078630709277324,1.0
1.0,0.5129272051543015,0.4870727948456986,0.0,-2.3821018889143923,-0.6847697169867889,-8.001380026139207,-5.98002073640768,0.13333388430999166,-1.5734020294673254,500.0,-0.29569316402649526,-0.27078630709277324,1.0
1.0,0.5129272051543015,0.4870727948456986,0.0,-2.3821018889143923,-0.6847697169867889,-8.001380026139207,-5.98002073640768,0.13333388430999166,-1.5734020294673254,500.0,-0.29569314912533406,-0.27078632199393443,1.0
2.0,0.5106025311454743,0.48939746885452573,0.0,-2.412341964535245,-0.8034463968500425,-8.001380026139207,-5.98002073640768,0.2347217370115786,-1.9221455368959262,500.0,-0.32207079278547146,-0.231878568606922,1.0
